Exhibit Group,Exhibit Name,Exhibit Popularity,Exhibit Copy
We understand time on a human scale - moments, days, seasons, and years. We measure Time by the periodic motion of pendulums or the periodic vibrations of quartz crystals and cesium atoms. We use Time to coordinate our lives. But what is Time? What is it made of? We know that it is part of the fabric of the universe, that it is bound up with entropy, that events are irreversible, that we remember the past but not the future. We know that in the far distant future, when the universe reaches a fully disordered state, time will cease to be. Of course, the most important question is... can we build a time machine and go see it?
What Is FORCE?
A force is a push or pull in a given direction. The Force is an energy field created by all living things that surrounds us and penetrates us and binds the galaxy together."
Physics & You,Info Panels - Newton's Laws,-,"Meet ISAAC NEWTON
Isaac Newton was an English physicist, mathematician, astronomer, and chemist. Building on the work of Galileo and Johannes Kepler, Newton mathematically described the Laws of Motion and Gravity way back in 1687. He also invented Calculus. Newton didn't get everything right (honestly, who does?), but he got a lot right. He helped build the foundations of modern science.
""I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the sea-shore... whilst the great ocean of truth lay all undiscovered before me."" - Isaac Newton
Newton's First Law of Motion INERTIA
Place a soccer ball on a field, and it just sits there. The forces acting on the soccer ball - gravity and the upward force of the ground holding up the ball - are balanced. The ball is at rest. Unless something happens to it, the soccer ball will stay at rest until the end of time. That's inertia, a property of matter. Now take that soccer ball, get in a rocket, and soar into interstellar space. Put on your spacesuit, grab the soccer ball, and exit the rocket. Give the soccer ball a good kick. At first the soccer ball will accelerate until it reaches a constant speed. If no other forces act on the soccer ball, it will travel at a constant speed in a constant direction until the end of time. This, too, is inertia. Newton's First Law states that objects tend to remain at rest or in motion at a constant speed unless acted upon by an outside, unbalanced force.
Newton's Second Law of Motion FORCE = MASS x ACCELERATION
You're on a soccer field. In front of you is a soccer ball at rest. The forces acting on the soccer ball are balanced.
You are about to change that. You give the soccer ball a big kick. You have provided an outside, unbalanced force. And the soccer ball is no longer at rest. It has accelerated and is sailing through the air down the field. How much force did you give the soccer ball? What was its rate of acceleration? What is the mass of the soccer ball? Newton's Second Law allows you to figure all of this out. The Second Law also states that the rate of acceleration depends on the mass of the object and the size of the force. With a good kick, you can send a soccer ball down the field. The same kick will not send a car down the field. A car, as you already know, has more mass than a soccer ball. Don't kick cars.
Newton's Third Law of Motion ACTION & REACTION
Go ahead and jump straight up into the air. Well done. You used your legs and feet to push yourself upward against the Earth. You also pushed the entire Earth downward with exactly the same amount of force. Newton's Third Law of Motion states that for every action there is an equal (in size) and opposite (in direction) reaction. You jumped up. The entire Earth moved downward. Just a very little bit. The Earth is much more massive than you are."
Physics & You,Ring Launcher,2,"Crank the generator to charge the capacitors. Flip the switch, and launch the aluminum ring into the air.
How It Works
Current flows to the electromagnet. The electromagnet generates a magnetic field and induces magnetic field in the aluminum ring. The magnetic fields repel each other, forcing the ring upward.
Did You Know?
A generator and a motor are essentially the same thing. A generator turns motion into electricity. A motor turns electricity into work. A generator can be a motor, and a motor can be a generator.
Something Curious
Which ring sails higher? The smaller, lighter ring? Or the larger, heavier ring? Do you know why?"
Physics & You,Sail Cars,4,"How Can a Sailboat Sail Into the Wind?
How Can it Sail Faster than the Wind?
A sail doesn't just catch the air and pull the boat along like a reverse parachute. A sail is really a wing turned on its side. Air flows faster over the curved side of the sail, creating high pressure on the other side. This lifting force pushes the boat both sideways and forward. The strength and directions of the lifting force depend on the angle of the sail. How does a sailboat go forward if the lifting force is also pushing it sideways? The sailboat has another wing in the water, sometimes more than one. The rudder and centerboard cancel out most of the sideways force. The sailboat moves mostly forward."
Physics & You,Vertical Flyer,2,"Balanced Forces
An upward force from the column of air meets the downward force of gravity. Can you make the two forces balance each other out?
Customize a Flyer!
Experiment with different cuts on a paper cone to see how it flies."
Power On,Cycle to Power,2,"The Power of You
Students from the Stockholm Academy of Dramatic Arts asked Robert Förstemann to make them some toast. They weren't hungry - they wanted to demonstrate how much power we use compared to how much we could possibly generate ourselves. Robert Förstemann is not a chef - he is a former world champion track cyclist and Olympic medalist from Germany. And the toaster wasn't plugged into the wall. It was plugged into a stationary bike with a generator. Förstemann hopped on the bike and began to pedal. He fought and strained and gave it everything he had. It wasn't easy. Using only muscle power, he generated around 700 watts for about two minutes - a massive effort for a human. Förstemann was completely exhausted, but he managed to make toast. Your toaster is not exhausted after it makes toast. Electricity does a tremendous amount of work for us. How much power can you generate on these bikes?
Cycling to Power
What's Going On? You pedal for 30 seconds. Your effort is measured in kilowatt hours. We multiply your effort by minutes. That's how long you'd have to pedal to make one of the gadgets run for X amount of time. A gadget runs for X amount of time as the kilowatt hours count down."
Power On,Energy Jeopardy,3,"Your Electric Brain
Your brain is astonishingly efficient considering it's the most complex thing in the universe. It runs on roughly 20 watts, enough to power two LED bulbs. A computer with the same abilities would probably need around a billion watts of power. The billions of neurons in your brain form trillions of connections. Electrical impulses zip along, hopping from neuron to neuron, carrying all kinds of information. Your senses, thoughts, and emotions are electric."
Power On,Follow that Pipe,4,IGNORE
Power On,Follow that Wire,4,IGNORE
Power On,Future of Fuel,-,"Electrolysis
Using solar power to produce hydrogen might be part of our sustainable energy future. The sun’s radiant energy is converted to electrical energy by photovoltaic panels. This energy is stored in batteries that can be used to power electrolyzers, devices that split water into hydrogen and oxygen gases. Hydrogen and oxygen can be ignited for energy, the energy is sent off to be used, and water is all that’s left. Energy from sunlight and water = nearly zero greenhouse gas emissions!
Solar Powered
Feel the power of the sun! You might have seen the Solar Tree on the Front Lawn at Discovery World, but you probably didn’t notice the extensive PV array on our roof, spanning over 20,000 square feet (about the size of four basketball courts).
Photovoltaic (PV) Panel
A device that captures radiant energy and converts it into electricity. Not to be confused with solar panels; both convert the sun’s energy, but solar panels produce heat rather than electricity.
Hydrogen Electrolysis
The process of splitting water into hydrogen and oxygen using an electric current. The electric current is provided by a device called an electrolyzer.
Radiant Energy
Solar radiation is absorbed by PV panels for renewable energy production.
Electrical Energy
Radiant energy is converted to electrical energy by the PV panel. It is then sent to a battery to be stored.
Explosive Energy
Igniting the hydrogen with some oxygen creates a powerful (and clean) explosion.
Thermal Energy
The heat from the reaction can be released or used for another purpose."
Power On,Gravity Ball Wall,2,"Water Power in Wisconsin
We Energies operates 13 hydroelectric power plants, two of which are in Wisconsin. The first is on the Brule River near Florence. It was constructed in 1919 and can generate up to 5,300 kilowatts. That's enough to power 4,416 toasters. The other is on the Pine River, also near Florence. It was constructed in 1922 and can generate up to 3,600 kilowatts, which is enough to power 3,000 toasters.
Solar Energy
Each day, the Sun does a tremendous amount of work lifting billions of tons of water into the atmosphere. The Sun's energy is stored in this water vapor as gravitational potential energy.
Kinetic Energy
Eventually, the water vapor condenses. Clouds form. The water falls as rain or snow then flows downhill into rivers and eventually back to the ocean.
Electrical Energy
Flowing water can be used to make turbines spin, which causes generators to spin. Generators transform this kinetic energy into electrical energy."
Power On,Run the City,2,"A Balance of Power
How does We Energies generate and send electricity to Milwaukee right when it's needed? By using multiple types of power plants, each with different strengths. To determine which plants to operate when, We Energies considers the amount of electricity the city needs at various times alongside conditions (like weather) that impact the availability of different power sources. Work together to make all the buildings light up.
Build power plants fast & early.
Some plants require more work to build than others.
Watch the weather.
Storms, wind, the temperature, and the sun can affect how much power is needed and how much you can generate.
Choose the most efficient plant.
Some plants require less work to generate the same amount of energy.
Meet high demand.
Run fastest at dawn and dusk when most people are at home using power."
Power On,Seeing Heat,2,"Invisible Light
All objects emit infrared light. Some more than others.
You emit more infrared light than an ice cube. Some animals like pit vipers and mosquitos can see infrared light. We feel it as heat.
Visible Light
Most light energy is invisible to us. The energy that our eyes can detect is a mere sliver of the electromagnetic spectrum, Infrared cameras translate invisible energy into images we can see.
Invisible Light Into Information
Infrared cameras are used by firefighters to find people trapped in burning buildings. They are used by electrical workers to find failing equipment. Some astronomers use infrared telescopes. Some cars have infrared cameras that help drivers see at night. Humans use the entire electromagnetic spectrum to explore, discover, and communicate."
Power On,Sun as the Source,2,"The Sun, The Source
A seething, roiling sphere of incandescent plasma. A massive fusion reactor sustained by its own gravitational collapse. It is mind-bogglingly huge and ridiculously hot. Please don't stare at it. Each year, the Earth receives around 3,800,000 exajoules of energy from the Sun - the ultimate source of energy. It's a staggering amount of energy yet only a tiny fraction of the Sun's total output. This energy drives weather and life. Energy cannot be created on earth - it can only be transformed from solar energy into different types of energy. Plants transform about 3,000 exajoules of this solar energy through photosynthesis. Humans transform and use around 500 exajoules of energy each year. Our energy comes from different sources, including coal, oil, natural gas, water and wind, and directly from the Sun itself. Our planet receives more energy from the Sun in 90 minutes than people use in a year. If we are clever enough, we will never run out of energy. If we are incredibly clever, we might build an entirely new energy future.
The Fusion Engine
The Sun produces energy through the process of thermonuclear fusion. In the Sun's core, the extreme pressure fuses hydrogen atoms together, producing helium atoms. This fusion releases a monstrous amount of energy in the form of high-energy gamma rays. As these gamma rays bounce their way from the center of the Sun to its surface, they lose some energy and become mostly ultraviolet, visible, and infrared light. Energy from the Sun's core can take anywhere from 10,000 to 170,000 years to reach its surface. From there, it takes about eight minutes to reach the Earth. It takes 5,5 hours for light from the Sun to reach Pluto.
Transforming the Sun
The energy stored in oil, coal, and natural gas comes from the Sun. The energy stored in the wind and flowing water comes from the Sun. Even the energy stored in the food you eat comes from the Sun. We transform this stored energy. Wood into heat. Wind into the movement of ships. Water into the motion of millstones. Food into muscle, work, ideas, and technology. Coal into heat into steam into spinning turbines and generators into electricity. Electricity into light, heat, work, information, computation, and machine intelligence. The Sun Powers Life. The Sun Powers Civilization. The Sun Powers You."
Power On,Tornado,3,"Destruction
Tornadoes can toss cars and trucks around like toys, rip trees out of the ground, and tear buildings apart. Pound for pound, tornadoes are the most energetic and destructive storms on the planet.
Wisconsin Tornadoes
Wisconsin averages 23 tornadoes each year. We had 62 back in 2005. We only had four in 2012. Wisconsin tornadoes, on average, last for under 10 minutes and touch ground for three to five miles. The Chetek tornado in May 2017 was on the ground for about two hours and cut an 83-mile path through Wisconsin. Chetek is 40 miles north of Eau Claire.
Heat Energy
Warm, moist air lifts upward as cooler air sinks downward causing rotation within a thunderstorm.
Kinetic Energy
A funnel of swirling air snakes downward from the storm to the ground with winds that can reach speeds of over 300 miles per hour."
Power On,Touch Lightning,1,"Could we Harness Lightning Energy?
We could, but it probably wouldn't be worth it. Lightning produces a huge amount of energy within a short amount of time. Capturing it is possible, but storing that energy would be difficult and expensive. Lightning is also wildly unpredictable and thunderstorms are somewhat rare, so it would be an unreliable source of power. And even if we could capture and store a significant percentage of lightning energy, it would amount to an insignificant fraction of the world's energy needs.
Kinetic Energy
Rain, hail, and frozen water collide inside a storm cloud.
The kinetic energy of these collisions is transformed.
Electrical Energy
The top of the cloud becomes positively charged and the base of the cloud becomes negatively charged. Because like charges repel, everything on the ground underneath the cloud becomes positively charged as electrons scramble to get out of the way.
Fingers of electrical energy called ""stepped leaders"" reach down from the cloud to the ground, searching for the path of least resistance. The ground sends up a bolt of energy called a ""streamer"" to meet them. The leader and streamer connect, creating a conductive pathway.
Heat, Light, Electrical, and Sound Energy
That connection creates a ferocious blast of light, heat, sound, and electrical energy - lightning and thunder!"
Power On,Van de Graaff,1,"Kinetic Energy Into Electric Potential
Inside the Van de Graaff generator, a drive belt spins over rollers made of different materials, which separates positive and negative charges. A metal brush at the base of the generator conducts negative charge to the ground. Another metal brush at the top of the generator conducts excess positive charge to the metal collector dome. The dome becomes positively charged.
Why do you get Shocked?
There's a big difference in electrical charge between you and the Van de Graaff generator. That electrical charge is looking for the path of least resistance. When you reach out to touch the metal dome, you become the path of least resistance. The charge jumps from the dome to you.
When you hold your hand on the dome, you become positively charged.
Share this Excess Positive Charge with your Friends!
This shock is harmless. An electrical outlet or a power line charge is much more powerful and can be deadly. Do not play with electrical outlets or power lines."
The Distance Mirror,A Story in Pieces,4,"A Story in Pieces
What do you look for when you analyze and remake an artifact?
MATERIALS: What is the artifact made of? Where did the materials come from?
METHODS: How was the artifact made? Which tools and techniques were used?
USE: Was the artifact valuable, ceremonial, or a common, everyday item?
To piece together the story of a people, you must first reconstruct the fragments of the things they left behind. Place the icon on the lighted circle. Rotate the icon to reconstruct the artifact."
The Distance Mirror,Dendrochronology,5,"Dendrochronology
The Study of Tree Rings Through Time
Developed in the early 1900s by the astronomer A. E. Douglass, who when he discovered that tree rings record sunspot activity. Each tree ring is a measure of time, and trees from the same area have very similar patterns of ring growth. Wooden beams and timber from a site can be accurately dated by matching the rings to a regions timeline. The first archaeological application occured in 1919, when Douglass used tree-ring analysis to measure the construction dates of two sites in the U.S. southwest."
The Distance Mirror,Meresamun Mummy,4,"Meresamun Mummy
Computerized Tomography (CT) scanning is a technology used by archaeologists to digitally excavate mummies without damaging their delicate interiors. This is a CT scan of a circa 3000-year-old Egyptian mummy, now housed at the Oriental Museum of Chicago. According to the hieroglyphs on the sarcophagus, the mummy's name was Meresamun, which means ""She Lives for the Amun”. Meresamun was a musician who held the title ""Singer in the Interior Temple of Amun"". The CT scan reveals that Meresamun was a woman with strong cheekbones and wide-set eyes. She had a slight overbite and retained all of her teeth, which were worn down by years of eating coarse, stone ground flour. The scan also reveals a large amount of linen used by her embalmers to wrap the body and fill empty organ cavities. Can you find other physical evidence about how Meresamun might have lived? Used with permission by the Oriental Institute of Chicago.
"
The Distance Mirror,MKE Historical Sites,5,"Prehistoric Burial Mound
The last of a group of Native American Mounds formerly located on a Stone Age village site near this spot and destroyed in recent years. Several were of larger size. Also the last of many fine groups of burial, linear, and animal shaped mounds formerly located within the present limits of the City of Milwaukee. Effigy mounds are burial sites made of earth and are common in Wisconsin's landscape. Many were constructed in the shapes of like animals and spirits. Other mounds are conical or linear shapes. Another variation in the style of mounds is the Panther Intaglio in Fort Atkinson, which is an indentation in the ground that fills up with water when it rains. Most mounds were built by Late Woodland Period people, between A.D. 750 and 1200. More often than not, effigy mounds occur in groups along with other kinds of mounds. During the 1800s, European-American archaeologists assumed indigenous people did not build the mounds and attributed them to a nebulous race of ""mound-builders."" Excavations of these mounds in the late 1800s revealed native artifacts and skeletal remains, settling the debate.
More than 3,000 effigy sites, that are known of, once existed in Wisconsin, but fewer than 10 percent of those remain.
First African American Church Built in Wisconsin
St. Mark African Methodist Episcopal Church, the first African American church built in Wisconsin, once stood on this site. The property was purchased in 1869, the year the congregation was organized. Construction on the St. Mark A.M.E. church began in November 1886, under the direction of Rev. William R. Alexander, pastor. Dedicatory services were held on April 3, 1887. The St. Mark congregation spent 43 years at this site, during which time the membership grew and the church, known as the Friendly Church, became the center of religious, civic, and cultural affairs for the African American community.
Bayview Rolling Mill
Near this site in Bay View stood the Milwaukee Iron Company rolling mill, the first major heavy industry in the region and an important producer of iron and steel for the Midwest. The mill, which opened in 1868, transformed ore from Dodge County and Lake Superior area mines into iron products, including thousands of tons of rail for the region's growing railroads. By 1885, more than 1,500 people were employed at the plant, some recruited from the iron-producing districts of the British Isles, and the village of Bay View grew from a rural crossroads into an industrial community surrounding the rolling mill. On May 5, 1886, the mill was the scene of a major labor disturbance. Nearly 1500 strikers from around Milwaukee marched on the Bay View mill to dramatize their demand for an eight-hour work day. The local militia, called to the scene by Governor Jeremiah Rusk, fired on the crowd, killing seven people. The mill closed in 1929, and the buildings were demolished a decade later. But the community of Bay View remains, a neighborhood of mill workers' houses, shops, and churches.
Lueddemann's-On-The River
This park played a key role in Shorewood's development. In 1872, Frederick A. Lueddemann opened Lueddemann's-On-The-River on this site in the Town of Milwaukee. Otto Zwietusch bought the resort in 1876 and renamed it Mineral Springs Park. Envisioning a landscaped urban retreat, he replaced the original building with a large building featuring apartments, a restaurant, and billiard rooms. The park was purchased in 1900 and renamed Coney Island. Its owners added a roller coaster, loud music and garish lights. These changes prompted growing dissatisfaction with the Town of Milwaukee which was collecting license fees. In 1900, the community incorporated as the Village of East Milwaukee, renamed Shorewood in 1917. Ravenna Park, the last in a succession of parks, closed in 1916. The grounds were subdivided and the structures removed. Only Hubbard Park remains from the original Lueddemann's-On-The-River.
National Soldiers' Home
The Wisconsin Soldiers' Home Association was formed in 1864 by a coalition of women's charitable organizations led by Lydia Hewitt, Hannah Vedder, and Mrs. E. L. Buttrick of Milwaukee. The Association raised funds to endow a hospital where sick and wounded Civil War soldiers could receive medical treatment and long-term domiciliary care. After securing a state appropriation of $5000, the Association staged a spectacular public event known as the Soldiers' Home Fair, which opened in Milwaukee on June 29, 1865, and raised more than $110,000. The proceeds from the Soldiers' Home Fair enabled the Association to purchase land and establish a hospital. In 1867, the Association transferred its property and remaining funds to the federal government for the establishment of the National Asylum for Disabled Volunteer Soldiers, Northwestern Branch. Dr. Erastus B. Wolcott of Milwaukee, the state's surgeon general during the Civil War, was appointed by Congress to head the governing board of the Home. In 1869, the noted architect Edward Townsend Mix designed the High Victorian Gothic structure ""Old Main,"" now known as Building No. 2. The hospital was renamed the Clement J. Zablocki Veterans Administration Medical Center in 1985.
Rescue of Joshua Glover
Joshua Glover was a runaway slave who sought freedom in Racine in 1852. In 1854, his Missouri owner used the Fugitive Slave Act to apprehend him. This 1850 law permitted slave catchers to cross state lines to capture escaped slaves. Glover was taken to Milwaukee and imprisoned. Word spread about Glover's incarceration and a great crowd gathered around the jail demanding his release. They beat down the jail door and released Joshua Glover. He was eventually escorted to Canada and safety. The Glover incident helped galvanize abolitionist sentiment in Wisconsin. This case eventually led the state supreme court to defy the federal government by declaring the Fugitive Slave Act unconstitutional."
The Distance Mirror,Mummy,5,"How do I tell what it is?
Objects may not always be what they seem. Knowing where you are in its timeline is as important as when and where the object comes from.
Sherit, the mummy, was actually a child.
Advanced technology has allowed reserchers to look inside the sarcophogus of this 2000-year-old mummy from Eygpt. So much information was gathered that scientists were able to reconstruct her face without ever opening her casket.
Petrified Man? The Cardiff Giant.
This 10 foot-tall ""petrified man"" was found in 1869. George Hull had a carver work a piece of gypsum into the figure of a man, stain it with acids, and beat the figure with a board full of needles to ""age"" the stone. Although declared a fake by archaeologists and geologists, it didn't stop PT Barnum from forming a plaster replica of the Giant, then calling the original a fake.
"
The Distance Mirror,The Distant Mirror,4,"What Is The Distant Mirror
The Distant Mirror exhibit allows you to explore the Technologies that Archaeologists use to discover the people and cultures of the past. Through the Distant Mirror of New Technologies and Methods, We can take inspiration from the past in order to build a better future. Where will I find objects from the past? How do I determine what it is? How do I tell how old it is?"
Virtual Explorer,Virtual Explorer,1,"How Does the VR System Know Where I Am?
Lighthouse Sensors are active, infrared sensors that emit a burst of invisible light 60 times per second. They also send a beam of invisible laser light sweeping across the room. The Vive headset is covered in photosensors that start counting the millisecond they detect these bursts of infrared light. They stop counting when they're hit by the laser. The Lighthouses use this information to determine the position of the headset. Since you are wearing the headset, the Lighthouse Sensors know exactly where you are. The Vive controllers also 'talk' to the Lighthouse Sensors, helping track your actions."
